name,det2019_z_pos,det2019_rel_z_pos,det2021_z_pos,det2021_rel_z_pos,det2016_z_pos,det2016_rel_z_pos
L1tA,37.451,-149.929,38.381,-149.929,87.92,-100.07000000000001
L1tS,45.018,-142.362,45.948,-142.362,96.105,-91.885
L2tA,87.435,-99.945,88.365,-99.94500000000001,187.99,0.0
L2tS,95.002,-92.378,95.932,-92.378,195.99,8.0
L3tA,187.38,0.0,188.31,0.0,287.98,99.99000000000001
L3tS,194.74,7.360000000000014,195.67,7.359999999999985,295.97,107.98000000000002
L4tA,287.33,99.94999999999999,288.26,99.94999999999999
L4tS,294.69,107.31,295.62,107.31
L5tAs,486.45,299.07,486.62,298.31,686.37,498.38
L5tAh,489.62,302.24,489.7,301.39,689.48,501.49
L5tSs,493.93,306.55,493.99,305.68,693.94,505.95000000000005
L5tSh,497.08,309.7,497.06,308.75,697.09,509.1
L6tAs,686.31,498.92999999999995,686.53,498.21999999999997,886.45,698.46
L6tAh,689.45,502.07000000000005,689.61,501.3,889.46,701.47
L6tSs,693.88,506.5,693.9,505.59,893.88,705.89
L6tSh,697.05,509.66999999999996,696.97,508.66,896.91,708.92
L7tAs,886.45,699.07,886.44,698.1300000000001
L7tAh,889.52,702.14,889.52,701.21
L7tSs,893.81,706.43,893.8,705.49
L7tSh,896.89,709.51,896.88,708.5699999999999
L1bS,53.649,-150.171,53.891,-150.199,103.65,-100.12
L1bA,61.263,-142.557,61.505,-142.585,111.71,-92.06000000000002
L2bS,103.63,-100.19,103.88,-100.21000000000001,203.77,0.0
L2bA,111.25,-92.57,111.49,-92.60000000000001,211.83,8.060000000000002
L3bS,203.82,0.0,204.09,0.0,303.72,99.95000000000002
L3bA,211.19,7.3700000000000045,211.45,7.359999999999985,311.59,107.81999999999996
L4bS,303.78,99.95999999999998,304.05,99.96000000000001
L4bA,311.14,107.32,311.41,107.32000000000002
L5bSs,502.57,298.75,502.49,298.4,702.43,498.65999999999997
L5bSh,505.62,301.8,505.57,301.48,705.47,501.70000000000005
L5bAs,510.07,306.25,509.85,305.76,710.03,506.26
L5bAh,513.12,309.3,512.93,308.8399999999999,713.07,509.30000000000007
L6bSs,702.47,498.65000000000003,702.4,498.30999999999995,902.35,698.58
L6bSh,705.51,501.69,705.47,501.38,905.35,701.58
L6bAs,710.07,506.25000000000006,709.76,505.66999999999996,909.99,706.22
L6bAh,713.11,509.29,712.84,508.75,912.89,709.12
L7bSs,902.41,698.5899999999999,902.31,698.2199999999999
L7bSh,905.45,701.6300000000001,905.38,701.29
L7bAs,909.77,705.95,909.67,705.5799999999999
L7bAh,912.81,708.99,912.75,708.66
