name,z_pos,rel_z_pos
L1tA,37.451,-149.929
L1tS,45.018,-142.362
L2tA,87.435,-99.945
L2tS,95.002,-92.378
L3tA,187.38,0.0
L3tS,194.74,7.360000000000014
L4tA,287.33,99.94999999999999
L4tS,294.69,107.31
L5tAs,486.45,299.07
L5tAh,489.62,302.24
L5tSs,493.93,306.55
L5tSh,497.08,309.7
L6tAs,686.31,498.92999999999995
L6tAh,689.45,502.07000000000005
L6tSs,693.88,506.5
L6tSh,697.05,509.66999999999996
L7tAs,886.45,699.07
L7tAh,889.52,702.14
L7tSs,893.81,706.43
L7tSh,896.89,709.51
L1bS,53.649,-150.171
L1bA,61.263,-142.557
L2bS,103.63,-100.19
L2bA,111.25,-92.57
L3bS,203.82,0.0
L3bA,211.19,7.3700000000000045
L4bS,303.78,99.95999999999998
L4bA,311.14,107.32
L5bSs,502.57,298.75
L5bSh,505.62,301.8
L5bAs,510.07,306.25
L5bAh,513.12,309.3
L6bSs,702.47,498.65000000000003
L6bSh,705.51,501.69
L6bAs,710.07,506.25000000000006
L6bAh,713.11,509.29
L7bSs,902.41,698.5899999999999
L7bSh,905.45,701.6300000000001
L7bAs,909.77,705.95
L7bAh,912.81,708.99
