detector names,position,L1tA,L1tS,L2tA,L2tS,L3tA,L3tS,L4tA,L4tS,L5tAs,L5tAh,L5tSs,L5tSh,L6tAs,L6tAh,L6tSs,L6tSh,L7tAs,L7tAh,L7tSs,L7tSh
geoDumpCat19,z_pos,37.451,45.018,87.435,95.002,187.38,194.74,287.33,294.69,486.45,489.62,493.93,497.08,686.31,689.45,693.88,697.05,886.45,889.52,893.81,896.89
geoDumpCat19,rel_z_pos,-149.929,-142.362,-99.945,-92.378,0.0,7.360000000000014,99.94999999999999,107.31,299.07,302.24,306.55,309.7,498.92999999999995,502.07000000000005,506.5,509.66999999999996,699.07,702.14,706.43,709.51
geoDumpCat21,z_pos,38.381,45.948,88.365,95.932,188.31,195.67,288.26,295.62,486.62,489.7,493.99,497.06,686.53,689.61,693.9,696.97,886.44,889.52,893.8,896.88
geoDumpCat21,rel_z_pos,-149.929,-142.362,-99.94500000000001,-92.378,0.0,7.359999999999985,99.94999999999999,107.31,298.31,301.39,305.68,308.75,498.21999999999997,501.3,505.59,508.66,698.1300000000001,701.21,705.49,708.5699999999999
detOGP,z_pos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9311,49.971,57.852,150.09256,158.49406,250.16734,258.31051
detOGP,rel_z_pos,-150.09256,-150.09256,-150.09256,-150.09256,-150.09256,-150.09256,-150.09256,-150.09256,-150.09256,-150.09256,-150.09256,-150.09256,-150.09256,-142.16146,-100.12155999999999,-92.24055999999999,0.0,8.401499999999999,100.07478,108.21795000000003
HPS-PhysicsRun2016-Pass2,z_pos,87.92,96.105,187.99,195.99,287.98,295.97,486.51,489.65,493.99,497.12,686.37,689.48,693.94,697.09,886.45,889.46,893.88,896.91,0.0,0.0
HPS-PhysicsRun2016-Pass2,rel_z_pos,-100.07000000000001,-91.885,0.0,8.0,99.99000000000001,107.98000000000002,298.52,301.65999999999997,306.0,309.13,498.38,501.49,505.95000000000005,509.1,698.46,701.47,705.89,708.92,0.0,0.0
HPS-PhysicsRun2016-Pass2_db,z_pos,87.909,96.093,187.98,195.97,287.71,295.79,486.41,489.93,493.41,496.8,685.76,689.79,693.1,697.1,886.45,889.46,893.88,896.91,0.0,0.0
HPS-PhysicsRun2016-Pass2_db,rel_z_pos,-100.07099999999998,-91.88699999999999,0.0,7.990000000000009,99.72999999999999,107.81000000000003,298.43000000000006,301.95000000000005,305.43000000000006,308.82000000000005,497.78,501.80999999999995,505.12,509.12,698.47,701.48,705.9,708.93,0.0,0.0
HPS_PhysicsRun2019_Pass2,z_pos,37.452,45.018,87.435,95.002,187.38,194.74,287.33,294.69,486.45,489.62,493.93,497.08,686.31,689.45,693.88,697.05,886.45,889.52,893.81,896.89
HPS_PhysicsRun2019_Pass2,rel_z_pos,-149.928,-142.362,-99.945,-92.378,0.0,7.360000000000014,99.94999999999999,107.31,299.07,302.24,306.55,309.7,498.92999999999995,502.07000000000005,506.5,509.66999999999996,699.07,702.14,706.43,709.51
HPS_TimDesign_iter0,z_pos,38.151,45.928,88.134,95.952,188.11,195.86,288.06,295.82,486.59,489.67,494.01,497.09,686.49,689.57,693.92,697.0,886.44,889.52,893.8,896.88
HPS_TimDesign_iter0,rel_z_pos,-149.959,-142.18200000000002,-99.97600000000001,-92.15800000000002,0.0,7.75,99.94999999999999,107.70999999999998,298.47999999999996,301.56,305.9,308.97999999999996,498.38,501.46000000000004,505.80999999999995,508.89,698.33,701.41,705.6899999999999,708.77
HPS_Run2021Pass1_v3,z_pos,38.381,45.948,88.365,95.932,188.31,195.67,288.26,295.62,486.62,489.7,493.99,497.06,686.53,689.61,693.9,696.97,886.44,889.52,893.8,896.88
HPS_Run2021Pass1_v3,rel_z_pos,-149.929,-142.362,-99.94500000000001,-92.378,0.0,7.359999999999985,99.94999999999999,107.31,298.31,301.39,305.68,308.75,498.21999999999997,501.3,505.59,508.66,698.1300000000001,701.21,705.49,708.5699999999999
